Sentence #,Word,Tag,POS
sentence 1,Đồng_thời,O,O
sentence 1,",",O,O
sentence 1,bệnh_viện,O,O
sentence 1,tiếp_tục,O,O
sentence 1,thực_hiện,O,O
sentence 1,các,O,O
sentence 1,biện_pháp,O,O
sentence 1,phòng_chống,O,O
sentence 1,dịch_bệnh,O,O
sentence 1,COVID,O,O
sentence 1,-,O,O
sentence 1,19,O,O
sentence 1,theo,O,O
sentence 1,hướng_dẫn,O,O
sentence 1,của,O,O
sentence 1,Bộ,B-ORGANIZATION,B-ORGANIZATION
sentence 1,Y_tế,I-ORGANIZATION,I-ORGANIZATION
sentence 1,.,O,O
sentence 2,"""",O,O
sentence 2,Số,O,O
sentence 2,bệnh_viện,O,O
sentence 2,có_thể,O,O
sentence 2,tiếp_nhận,O,O
sentence 2,bệnh_nhân,O,O
sentence 2,bị,O,O
sentence 2,sốt,B-SYMPTOM_AND_DISEASE,B-SYMPTOM_AND_DISEASE
sentence 2,cao,I-SYMPTOM_AND_DISEASE,I-SYMPTOM_AND_DISEASE
sentence 2,và,O,O
sentence 2,khó,B-SYMPTOM_AND_DISEASE,B-SYMPTOM_AND_DISEASE
sentence 2,thở,I-SYMPTOM_AND_DISEASE,I-SYMPTOM_AND_DISEASE
sentence 2,đang,O,O
sentence 2,giảm,O,O
sentence 2,dần,O,O
sentence 2,"""",O,O
sentence 2,",",O,O
sentence 2,thông_cáo,O,O
sentence 2,có,O,O
sentence 2,đoạn,O,O
sentence 2,",",O,O
sentence 2,cảnh_báo,O,O
sentence 2,những,O,O
sentence 2,bệnh_nhân,O,O
sentence 2,này,O,O
sentence 2,thay,O,O
sentence 2,vào,O,O
sentence 2,đó,O,O
sentence 2,được,O,O
sentence 2,chuyển,O,O
sentence 2,tới,O,O
sentence 2,các,O,O
sentence 2,phòng_khám,O,O
sentence 2,khẩn_cấp,O,O
sentence 2,",",O,O
sentence 2,khiến,O,O
sentence 2,những,O,O
sentence 2,bệnh_nhân,O,O
sentence 2,mắc,O,O
sentence 2,bệnh,O,O
sentence 2,hiểm_nghèo,O,O
sentence 2,khác,O,O
sentence 2,không,O,O
sentence 2,có,O,O
sentence 2,cơ_hội,O,O
sentence 2,được,O,O
sentence 2,điều_trị,O,O
sentence 2,.,O,O
sentence 3,Ngoài_ra,O,O
sentence 3,",",O,O
sentence 3,những,O,O
sentence 3,người,O,O
sentence 3,tiếp_xúc,O,O
sentence 3,gián_tiếp,O,O
sentence 3,(,O,O
sentence 3,đã,O,O
sentence 3,gặp,O,O
sentence 3,những,O,O
sentence 3,người,O,O
sentence 3,tiếp_xúc,O,O
sentence 3,gần,O,O
sentence 3,với,O,O
sentence 3,bệnh_nhân,O,O
sentence 3,),O,O
sentence 3,được,O,O
sentence 3,lập,O,O
sentence 3,danh_sách,O,O
sentence 3,và,O,O
sentence 3,yêu_cầu,O,O
sentence 3,cách_ly,O,O
sentence 3,y_tế,O,O
sentence 3,tại,O,O
sentence 3,nơi,O,O
sentence 3,ở,O,O
sentence 3,.,O,O
sentence 4,Bà,O,O
sentence 4,này,O,O
sentence 4,khi,O,O
sentence 4,trở,O,O
sentence 4,về,O,O
sentence 4,quá_cảnh,O,O
sentence 4,Doha,B-LOCATION,B-LOCATION
sentence 4,(,O,O
sentence 4,Qatar,B-LOCATION,B-LOCATION
sentence 4,),O,O
sentence 4,",",O,O
sentence 4,đáp,O,O
sentence 4,xuống,O,O
sentence 4,Tân_Sơn_Nhất,B-LOCATION,B-LOCATION
sentence 4,sáng,O,O
sentence 4,2/3,B-DATE,B-DATE
sentence 4,cùng,O,O
sentence 4,75,O,O
sentence 4,hành_khách,O,O
sentence 4,",",O,O
sentence 4,trong,O,O
sentence 4,đó,O,O
sentence 4,có,O,O
sentence 4,55,O,O
sentence 4,người,O,O
sentence 4,nước_ngoài,O,O
sentence 4,.,O,O
sentence 5,"""",O,O
sentence 5,Bệnh_nhân,O,O
sentence 5,523,B-PATIENT_ID,B-PATIENT_ID
sentence 5,"""",O,O
sentence 5,và,O,O
sentence 5,chồng,O,O
sentence 5,là,O,O
sentence 5,"""",O,O
sentence 5,bệnh_nhân,O,O
sentence 5,522,B-PATIENT_ID,B-PATIENT_ID
sentence 5,"""",O,O
sentence 5,",",O,O
sentence 5,67,B-AGE,B-AGE
